ID	LANGUAGE	FILENAME	NUMBER	FRENCH	MALAGASY	FORM
24	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	24	trois	telo	telo
25	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	25	quatre	efatra	aifatra
26	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	26	cinq	dimy	dimy
27	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	27	grand	lehibe	maventy
28	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	28	long	lava	lava
29	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	29	large	malalaka	mivelatra
30	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	30	épais	matevina	matevigny
31	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	31	lourd	mavesatra	mavesatra
32	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	32	petit	kely	hely
33	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	33	court	fohy	fohiky
34	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	34	étroit	tery	maletry
35	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	35	fin	manify	matify
36	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	36	femme	vehivavy	magnangy
37	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	37	homme (mâle adulte)	lehilahy	lelahy
38	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	38	homme (être humain)	olona	olo
39	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	39	enfant	zaza	tsaiky
40	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	40	femme (épouse)	vady	vady
41	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	41	mari	vady	vady
42	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	42	mère	reny	nindry
43	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	43	père	ray	baba
44	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	44	animal	biby	biby
45	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	45	poisson	trondro	laoko
46	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	46	oiseau	vorona	vorogno
47	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	47	chien	alika	fandroaka
48	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	48	pou	hao	hao
49	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	49	serpent	bibilava	bibilava
50	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	50	ver	kankana	hankagna
51	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	51	arbre	hazo	kakazo
52	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	52	forêt	ala	atiala
53	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	53	bâton	kibay	kobay
54	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	54	fruit	voankazo	voankazo
55	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	55	graine	voa	ambeo
56	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	56	feuille	ravina	ravigny
57	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	57	racine	faka	vahatra
58	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	58	écorce	hodi-kazo	hodikakazo
59	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	59	fleur	voninkazo	felany
60	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	60	herbe	ahitra	ahitry
61	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	61	corde	tady	tady
62	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	62	peau	hoditra	hoditra
63	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	63	viande	hena	hena
64	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	64	sang	ra	lio
65	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	65	os	taolana	taholagna
66	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	66	graisse (matière)	taviny	jabora
67	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	67	œuf	atody	antody
68	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	68	corne	tandroka	ampondo
69	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	69	queue	rambo	ohy
70	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	70	plume	volom-borona	volomborogno
71	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	71	cheveux	volo	fagneva
72	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	72	tête	loha	loha
73	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	73	oreille	sofina	sofigny
74	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	74	œil	maso	maso
75	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	75	nez	orona	orogno
76	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	76	bouche	vava	vava
77	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	77	dent	nify	nify
78	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	78	langue	lela	lela
79	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	79	ongle	hoho	angofo
80	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	80	pied	tongotra	vity
81	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	81	jambe	ranjo	peky
82	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	82	genou	lohalika	lohalitry
83	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	83	main	tanana	tagnana
84	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	84	aile	elatra	elatra
85	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	85	ventre	kibo	kibo
86	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	86	entrailles	tsinay	tsontsory
87	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	87	cou	vozona	vozogno
88	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	88	dos	lamosina	tahezagna
89	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	89	poitrine	tratra	tratra
90	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	90	cœur	fo	fo
91	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	91	foie	aty	aty
92	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	92	boire	misotro	migiaka
93	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	93	manger	mihinana	mihina
94	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	94	mordre	manaikitra	magnekitry
95	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	95	sucer	mifiaka	minono
96	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	96	cracher	mandrehoka	mihaka
97	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	97	vomir	mandoa	mandoa
98	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	98	souffler	mitsoka	mitsitro
99	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	99	respirer	miaina	miaigny
100	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	100	rire	mihomehy	mitokiky
101	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	101	voir	mahita	mahita
102	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	102	entendre	mihaino	mitandregny
103	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	103	savoir	mahay	mahay
104	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	104	penser	mieritreritra	mandiniky
105	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	105	sentir (par le nez)	manimbolo	maharegny
106	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	106	craindre	matahotra	mavozo
107	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	107	dormir	matory	mandry
108	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	108	vivre	velona	velogno
109	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	109	mourir	maty	maty
110	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	110	tuer	mamono	mamono
111	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	111	se battre	miady	miady
112	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	112	chasser	mihaza	mihaza
113	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	113	frapper	mikapoka	mamopoko
114	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	114	couper	mandidy	manapaka
115	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	115	fendre (diviser)	mamaky	mamaky
116	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	116	poignarder	manatsatoka antsy	manomboko meso
117	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	117	gratter	mikiky	mikiky
118	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	118	creuser	mangady	mangady
119	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	119	nager	milomano	milomagno
120	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	120	voler	manidina	magnembana
121	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	121	aller	mandeha	mandeha
122	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	122	venir	avy	navy
123	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	123	être couche	mandry	mandry
124	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	124	être assis	mipetraka	mipetraka
125	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	125	être debout	mitsangana	mitsangagna
126	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	126	tourner	mihodina	mihodigny
127	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	127	tomber	mianjera	lavo
128	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	128	donner	manome	magnamia
129	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	129	tenir	mitantana	mitagna
130	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	130	presser (comme un citron)	manery	mamiaka
131	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	131	frotter	manakasoka	mandrokotro
132	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	132	laver	manasa	manasa
133	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	133	essuyer	mamafa	mamitry
134	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	134	tirer	mitifitra	mitifitry
135	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	135	pousser	manosika	miposy
136	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	136	jeter (lancer)	manoraka	mitoraka
137	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	137	lier	mamehy	manohy
138	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	138	coudre	manjaitra	manjaitry
139	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	139	compter	manisa	magnisaka
140	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	140	dire	milaza	mivolagna
141	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	141	chanter	mihira	mihira
142	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	142	jouer	milalao	misoma
143	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	143	flotter	mitsinkafona	miefogno
144	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	144	couler	mikoriana	mivalagna
145	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	145	geler	mandry	mandry
146	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	146	gonfler	mibontsina	mivonto
147	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	147	soleil	masoandro	masoandro
148	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	148	lune	volana	fanjava
149	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	149	étoile	kintana	lakintagna
150	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	150	eau	rano	rano
151	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	151	pluie	orana	mahaleny
152	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	152	rivière	renirano	tegnandrano
153	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	153	lac	farihy	matsabory
154	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	154	mer	ranomasina	ranomasigny
155	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	155	sel	sira	sira
156	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	156	pierre	vato	vato
157	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	157	sable	fasika	jia
158	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	158	poussière	vovoka	laposiara
159	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	159	terre	tany	fotaka
160	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	160	nuage	rahona	rondro
161	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	161	brouillard	zavona	zavogno
162	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	162	ciel	lanitra	lagnitry
163	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	163	vent	rivotra	tsiko
164	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	164	neige	ranomandry	laneige
165	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	165	glace	ranomandry	lagilasy
166	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	166	fumée	setroka	setroko
167	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	167	feu	afo	motro
168	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	168	cendre	lavenona	jofo
169	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	169	brûler	mandoro	magnoro
170	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	170	route	lalana	lalagna
171	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	171	montagne	tendrombohitra	bongo
172	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	172	rouge	mena	mena
173	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	173	vert	maitso	maitso
174	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	174	jaune	mavo	fondragna
175	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	175	blanc	fotsy	malandy
176	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	176	noir	mainty	joby
177	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	177	nuit	alina	aligny
178	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	178	jour	andro	andra
179	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	179	an (année)	taona	taogno
180	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	180	chaud	mafana	mafana
181	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	181	froid	mangatsiaka	manintsy
182	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	182	plein	feno	feno
183	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	183	nouveau	vaovao	vao
184	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	184	vieux	antitra	matoe
185	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	185	bon	tsara	tsara
186	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	186	mauvais	ratsy	ratsy
187	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	187	pourri	lo	montraka
188	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	188	sale	maloto	maloto
189	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	189	droit	mahitsy	mahitsy
190	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	190	rond	boribory	boribory
191	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	191	tranchant	maranitra	maragnitry
192	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	192	émoussé	dombo	magofogno
193	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	193	lisse	malama	malamatra
194	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	194	mouillé	mando	leny
195	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	195	sec	maina	maiky
196	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	196	juste (correct)	mety	marigny
197	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	197	près	akaiky	marikitry
198	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	198	loin	lavitra	lavitry
199	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	199	droite	havanana	ankahery
200	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	200	gauche	havia	ankavia
201	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	201	à	any	agny
202	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	202	dans	anaty	agnatiny
203	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	203	avec	amin'ny	miaraka
204	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	204	et	sy	ndraiky
205	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	205	si	raha	izy koa
206	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	206	parce que	satria	fotony
207	Sakalava (Ambanja)	01-Sakalava.Ambanja.txt	207	nom	anarana	agnaragna
208	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	1	je	izaho	za
209	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	2	tu	ianao	ianao
210	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	3	il	izy	izy
211	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	4	nous	isika	antsika
212	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	5	vous	ianareo	ianareo
213	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	6	ils	izy ireo	ry zareo
214	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	7	ceci	ity	ty
215	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	8	cela	izany	izany
216	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	9	ici	eto	eto
217	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	10	là	ao	akao
218	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	11	qui	iza	iza
219	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	12	que (qu'est-ce que; quoi)	inona	inona
220	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	13	où	aiza	akaiza
221	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	14	quand	oviana	ovina
222	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	15	comment	ahoana	ahoana
223	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	16	ne pas	tsy	tsy
224	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	17	tout	rehetra	izy daholo
225	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	18	beaucoup	betsaka	betsaka
226	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	19	quelques	vitsivitsy	sasisasy
227	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	20	peu	kely	kitika
228	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	21	autre	hafa	hafa
229	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	22	un	iray	raika
230	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	23	deux	roa	roa
231	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	24	trois	telo	telo
232	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	25	quatre	efatra	efatra
233	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	26	cinq	dimy	dimy
234	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	27	grand	lehibe	ngenda
235	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	28	long	lava	lava
236	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	29	large	malalaka	malalaka
237	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	30	épais	matevina	mivalampatra
238	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	31	lourd	mavesatra	mavesatra
239	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	32	petit	kely	bilitika
240	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	33	court	fohy	pota
241	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	34	étroit	tery	tery
242	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	35	fin	manify	manify
243	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	36	femme	vehivavy	vehivavy
244	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	37	homme (mâle adulte)	lehilahy	lelahy
245	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	38	homme (être humain)	olona	olona
246	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	39	enfant	zaza	ankizy
247	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	40	femme (épouse)	vady	vady
248	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	41	mari	vady	vady
249	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	42	mère	reny	neny
250	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	43	père	ray	dada
251	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	44	animal	biby	biby
252	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	45	poisson	trondro	lapia
253	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	46	oiseau	vorona	vorona
254	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	47	chien	alika	amboa
255	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	48	pou	hao	hao
256	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	49	serpent	bibilava	bibilava
257	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	50	ver	kankana	felika
258	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	51	arbre	hazo	kakazo
259	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	52	forêt	ala	ala
260	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	53	bâton	kibay	tapakazo
261	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	54	fruit	voankazo	voankazo
262	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	55	graine	voa	voa
263	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	56	feuille	ravina	ravina
264	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	57	racine	faka	faka
265	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	58	écorce	hodi-kazo	hodikitay
266	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	59	fleur	voninkazo	vonikazo
267	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	60	herbe	ahitra	ahitra
268	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	61	corde	tady	tady
269	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	62	peau	hoditra	oditra
270	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	63	viande	hena	hena
271	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	64	sang	ra	lio
272	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	65	os	taolana	taolagna
273	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	66	graisse (matière)	taviny	matavy
274	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	67	œuf	atody	atody
275	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	68	corne	tandroka	tandroka
276	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	69	queue	rambo	rambo
277	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	70	plume	volom-borona	volomborona
278	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	71	cheveux	volo	volo
279	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	72	tête	loha	loha
280	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	73	oreille	sofina	sofina
281	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	74	œil	maso	maso
282	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	75	nez	orona	orona
283	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	76	bouche	vava	vava
284	Sihanaka (Ambatondrazaka)	02-Sihanaka.Ambatondrazaka.txt	77	dent	nify	nify
